cross_section,eta_ch,Ti_init,tau_E_s,tau_ie_s,G,max_inst_Pfus_Pbrems,transient_window_s
wang,0.0,745,0.0203,4.257,0.00059,2.684,0.044
wang,0.0,745,0.0412,4.257,0.00119,2.619,0.088
wang,0.0,745,0.0838,4.257,0.00238,2.520,0.175
wang,0.0,745,0.1701,4.257,0.00471,2.390,0.345
wang,0.0,745,0.3455,4.257,0.00922,2.329,0.676
wang,0.0,745,0.7017,4.257,0.01774,2.329,1.315
wang,0.0,745,1.4251,4.257,0.03339,2.329,2.545
wang,0.0,745,2.8943,4.257,0.06074,2.329,4.886
wang,0.0,745,5.8780,4.257,0.10428,2.329,9.185
wang,0.0,745,11.9378,4.257,0.16248,2.329,16.350
wang,0.0,745,24.2446,4.257,0.22165,2.329,26.193
wang,0.0,745,49.2388,4.257,0.26588,2.329,36.479
wang,0.0,745,100.0000,4.257,0.29221,2.329,44.685
wang,0.0,800,0.0100,4.716,0.00029,2.720,0.023
wang,0.0,800,0.0203,4.716,0.00059,2.681,0.046
wang,0.0,800,0.0412,4.716,0.00118,2.613,0.091
wang,0.0,800,0.0838,4.716,0.00235,2.509,0.181
wang,0.0,800,0.1701,4.716,0.00465,2.369,0.357
wang,0.0,800,0.3455,4.716,0.00911,2.275,0.700
wang,0.0,800,0.7017,4.716,0.01755,2.275,1.365
wang,0.0,800,1.4251,4.716,0.03307,2.275,2.646
wang,0.0,800,2.8943,4.716,0.06018,2.275,5.088
wang,0.0,800,5.8780,4.716,0.10312,2.275,9.576
wang,0.0,800,11.9378,4.716,0.15989,2.275,17.034
wang,0.0,800,24.2446,4.716,0.21661,2.275,27.209
wang,0.0,800,49.2388,4.716,0.25832,2.275,37.761
wang,0.0,800,100.0000,4.716,0.28290,2.275,46.147
TB,0.0,200,0.0100,0.608,0.00025,2.824,0.009
TB,0.0,200,0.0203,0.608,0.00051,2.824,0.018
TB,0.0,200,0.0412,0.608,0.00100,2.824,0.035
TB,0.0,200,0.0838,0.608,0.00196,2.824,0.067
TB,0.0,200,0.1701,0.608,0.00372,2.824,0.126
TB,0.0,200,0.3455,0.608,0.00690,2.824,0.233
TB,0.0,200,0.7017,0.608,0.01237,2.824,0.421
TB,0.0,200,1.4251,0.608,0.02129,2.824,0.737
TB,0.0,200,2.8943,0.608,0.03487,2.824,1.246
TB,0.0,200,5.8780,0.608,0.05374,2.824,2.015
TB,0.0,200,11.9378,0.608,0.07692,2.824,3.068
TB,0.0,200,24.2446,0.608,0.10109,2.824,4.296
TB,0.0,200,49.2388,0.608,0.12186,2.824,5.452
TB,0.0,200,100.0000,0.608,0.13664,2.824,6.328
TB,0.0,255,0.0100,0.871,0.00031,3.207,0.011
TB,0.0,255,0.0203,0.871,0.00062,3.207,0.022
TB,0.0,255,0.0412,0.871,0.00124,3.207,0.044
TB,0.0,255,0.0838,0.871,0.00243,3.207,0.086
TB,0.0,255,0.1701,0.871,0.00468,3.207,0.165
TB,0.0,255,0.3455,0.871,0.00884,3.207,0.312
TB,0.0,255,0.7017,0.871,0.01624,3.207,0.578
TB,0.0,255,1.4251,0.871,0.02890,3.207,1.051
TB,0.0,255,2.8943,0.871,0.04942,3.207,1.870
TB,0.0,255,5.8780,0.871,0.08037,3.207,3.239
TB,0.0,255,11.9378,0.871,0.12243,3.207,5.352
TB,0.0,255,24.2446,0.871,0.17161,3.207,8.164
TB,0.0,255,49.2388,0.871,0.21910,3.207,11.214
TB,0.0,255,100.0000,0.871,0.25650,3.207,13.862
TB,0.0,309,0.0100,1.163,0.00034,3.326,0.013
TB,0.0,309,0.0203,1.163,0.00069,3.326,0.026
TB,0.0,309,0.0412,1.163,0.00137,3.326,0.052
TB,0.0,309,0.0838,1.163,0.00270,3.326,0.102
TB,0.0,309,0.1701,1.163,0.00526,3.326,0.198
TB,0.0,309,0.3455,1.163,0.01003,3.326,0.377
TB,0.0,309,0.7017,1.163,0.01871,3.326,0.709
TB,0.0,309,1.4251,1.163,0.03395,3.326,1.317
TB,0.0,309,2.8943,1.163,0.05954,3.326,2.415
TB,0.0,309,5.8780,1.163,0.09987,3.326,4.347
TB,0.0,309,11.9378,1.163,0.15751,3.326,7.528
TB,0.0,309,24.2446,1.163,0.22831,3.326,12.132
TB,0.0,309,49.2388,1.163,0.29872,3.326,17.641
TB,0.0,309,100.0000,1.163,0.35381,3.326,22.846
TB,0.0,364,0.0100,1.480,0.00036,3.321,0.015
TB,0.0,364,0.0203,1.480,0.00072,3.315,0.030
TB,0.0,364,0.0412,1.480,0.00144,3.311,0.059
TB,0.0,364,0.0838,1.480,0.00286,3.311,0.116
TB,0.0,364,0.1701,1.480,0.00558,3.311,0.225
TB,0.0,364,0.3455,1.480,0.01072,3.311,0.432
TB,0.0,364,0.7017,1.480,0.02020,3.311,0.821
TB,0.0,364,1.4251,1.480,0.03710,3.311,1.546
TB,0.0,364,2.8943,1.480,0.06606,3.311,2.887
TB,0.0,364,5.8780,1.480,0.11269,3.311,5.317
TB,0.0,364,11.9378,1.480,0.18036,3.311,9.461
TB,0.0,364,24.2446,1.480,0.26261,3.311,15.676
TB,0.0,364,49.2388,1.480,0.33935,3.311,23.188
TB,0.0,364,100.0000,1.480,0.39296,3.311,30.003
TB,0.0,418,0.0100,1.821,0.00037,3.309,0.016
TB,0.0,418,0.0203,1.821,0.00074,3.291,0.032
TB,0.0,418,0.0412,1.821,0.00148,3.262,0.065
TB,0.0,418,0.0838,1.821,0.00293,3.236,0.127
TB,0.0,418,0.1701,1.821,0.00575,3.236,0.248
TB,0.0,418,0.3455,1.821,0.01109,3.236,0.480
TB,0.0,418,0.7017,1.821,0.02103,3.236,0.918
TB,0.0,418,1.4251,1.821,0.03895,3.236,1.746
TB,0.0,418,2.8943,1.821,0.07000,3.236,3.299
TB,0.0,418,5.8780,1.821,0.12041,3.236,6.161
TB,0.0,418,11.9378,1.821,0.19316,3.236,11.119
TB,0.0,418,24.2446,1.821,0.27802,3.236,18.566
TB,0.0,418,49.2388,1.821,0.35059,3.236,27.250
TB,0.0,418,100.0000,1.821,0.39655,3.236,34.664
TB,0.0,473,0.0100,2.183,0.00037,3.301,0.017
TB,0.0,473,0.0203,2.183,0.00074,3.274,0.035
TB,0.0,473,0.0412,2.183,0.00149,3.229,0.070
TB,0.0,473,0.0838,2.183,0.00296,3.168,0.137
TB,0.0,473,0.1701,2.183,0.00581,3.137,0.269
TB,0.0,473,0.3455,2.183,0.01126,3.137,0.521
TB,0.0,473,0.7017,2.183,0.02144,3.137,1.004
TB,0.0,473,1.4251,2.183,0.03994,3.137,1.922
TB,0.0,473,2.8943,2.183,0.07218,3.137,3.661
TB,0.0,473,5.8780,2.183,0.12459,3.137,6.898
TB,0.0,473,11.9378,2.183,0.19903,3.137,12.529
TB,0.0,473,24.2446,2.183,0.28184,3.137,20.870
TB,0.0,473,49.2388,2.183,0.34769,3.137,30.216
TB,0.0,473,100.0000,2.183,0.38705,3.137,37.883
TB,0.0,527,0.0100,2.564,0.00037,3.294,0.019
TB,0.0,527,0.0203,2.564,0.00074,3.261,0.037
TB,0.0,527,0.0412,2.564,0.00148,3.205,0.074
TB,0.0,527,0.0838,2.564,0.00295,3.121,0.146
TB,0.0,527,0.1701,2.564,0.00581,3.036,0.287
TB,0.0,527,0.3455,2.564,0.01130,3.032,0.559
TB,0.0,527,0.7017,2.564,0.02159,3.032,1.080
TB,0.0,527,1.4251,2.564,0.04037,3.032,2.078
TB,0.0,527,2.8943,2.564,0.07321,3.032,3.983
TB,0.0,527,5.8780,2.564,0.12640,3.032,7.546
TB,0.0,527,11.9378,2.564,0.20054,3.032,13.735
TB,0.0,527,24.2446,2.564,0.27944,3.032,22.734
TB,0.0,527,49.2388,2.564,0.33894,3.032,32.503
TB,0.0,527,100.0000,2.564,0.37335,3.032,40.333
TB,0.0,582,0.0100,2.963,0.00036,3.289,0.020
TB,0.0,582,0.0203,2.963,0.00073,3.252,0.039
TB,0.0,582,0.0412,2.963,0.00147,3.187,0.078
TB,0.0,582,0.0838,2.963,0.00293,3.088,0.155
TB,0.0,582,0.1701,2.963,0.00578,2.965,0.304
TB,0.0,582,0.3455,2.963,0.01125,2.928,0.593
TB,0.0,582,0.7017,2.963,0.02156,2.928,1.150
TB,0.0,582,1.4251,2.963,0.04043,2.928,2.220
TB,0.0,582,2.8943,2.963,0.07346,2.928,4.272
TB,0.0,582,5.8780,2.963,0.12669,2.928,8.121
TB,0.0,582,11.9378,2.963,0.19941,2.928,14.778
TB,0.0,582,24.2446,2.963,0.27394,2.928,24.286
TB,0.0,582,49.2388,2.963,0.32801,2.928,34.364
TB,0.0,582,100.0000,2.963,0.35866,2.928,42.334
TB,0.0,636,0.0100,3.379,0.00036,3.286,0.020
TB,0.0,636,0.0203,3.379,0.00072,3.244,0.041
TB,0.0,636,0.0412,3.379,0.00145,3.173,0.082
TB,0.0,636,0.0838,3.379,0.00290,3.062,0.162
TB,0.0,636,0.1701,3.379,0.00572,2.916,0.319
TB,0.0,636,0.3455,3.379,0.01116,2.826,0.624
TB,0.0,636,0.7017,3.379,0.02142,2.826,1.213
TB,0.0,636,1.4251,3.379,0.04025,2.826,2.349
TB,0.0,636,2.8943,3.379,0.07321,2.826,4.535
TB,0.0,636,5.8780,3.379,0.12599,2.826,8.638
TB,0.0,636,11.9378,3.379,0.19673,2.826,15.694
TB,0.0,636,24.2446,3.379,0.26696,2.826,25.610
TB,0.0,636,49.2388,3.379,0.31648,2.826,35.941
TB,0.0,636,100.0000,3.379,0.34419,2.826,44.046
TB,0.0,691,0.0100,3.810,0.00035,3.283,0.021
TB,0.0,691,0.0203,3.810,0.00071,3.238,0.043
TB,0.0,691,0.0412,3.810,0.00143,3.162,0.085
TB,0.0,691,0.0838,3.810,0.00286,3.042,0.169
