Ti,tau,f_B,r_ash,eta_ch,f_tail,eta_drive,f_imp,xi_sync,Pnet_Pbrems
579.4478,0.9392,0.2232,0.0056,0.4719,0.5887,0.7332,0.0053,0.1489,0.0691
591.3681,0.5064,0.1787,0.0117,0.4961,0.5491,0.7602,0.0110,0.0655,0.0258
505.1489,0.9762,0.1839,0.0204,0.4778,0.5838,0.7753,0.0123,0.0109,0.0434
587.3427,0.6103,0.1798,0.0076,0.4333,0.5873,0.6164,0.0051,0.0185,0.0460
543.4126,0.7526,0.1943,0.0173,0.4782,0.5604,0.7480,0.0178,0.0292,0.0171
413.4502,0.8907,0.2086,0.0010,0.4809,0.5935,0.6647,0.0096,0.0020,0.1119
596.9764,0.9258,0.1893,0.0256,0.4760,0.5556,0.7857,0.0060,0.0262,0.0314
587.8898,0.9038,0.2821,0.0036,0.4970,0.5946,0.7636,0.0125,0.1400,0.0955
558.6312,0.6616,0.1404,0.0076,0.4379,0.5989,0.6985,0.0005,0.0373,0.0207
523.0791,0.9683,0.2901,0.0114,0.4666,0.5970,0.7272,0.0012,0.0565,0.0624
533.6087,0.6930,0.1932,0.0246,0.4973,0.5895,0.5205,0.0025,0.0221,0.0018
555.6429,0.7145,0.2598,0.0054,0.4336,0.5304,0.7566,0.0023,0.0022,0.0374
537.1469,0.6031,0.2106,0.0308,0.4673,0.5800,0.7867,0.0014,0.0304,0.0194
573.3775,0.9982,0.2487,0.0107,0.4954,0.5300,0.6563,0.0131,0.0472,0.0265
500.4142,0.8315,0.2589,0.0253,0.4907,0.5702,0.6824,0.0051,0.0014,0.0338
591.3375,0.7880,0.1718,0.0215,0.4797,0.5720,0.7169,0.0059,0.0549,0.0223
582.8916,0.6456,0.2678,0.0097,0.4728,0.5433,0.7281,0.0064,0.0746,0.0098
481.2000,0.9293,0.2377,0.0069,0.4582,0.5257,0.7511,0.0001,0.0208,0.0226
563.9868,0.7979,0.1947,0.0350,0.4762,0.5791,0.7662,0.0042,0.0092,0.0309
577.0082,0.6178,0.1638,0.0109,0.4613,0.5935,0.7617,0.0140,0.0829,0.0135
520.2141,0.6954,0.2526,0.0161,0.4907,0.5623,0.7176,0.0044,0.0194,0.0747
543.3814,0.5530,0.1563,0.0026,0.4936,0.5999,0.7288,0.0027,0.0022,0.1844
537.7818,0.9434,0.2143,0.0017,0.4595,0.5539,0.5493,0.0032,0.0591,0.0295
570.7840,0.9829,0.1844,0.0103,0.4609,0.5574,0.5678,0.0014,0.0335,0.0325
594.9566,0.6013,0.1709,0.0089,0.4854,0.5511,0.7939,0.0039,0.1549,0.0014
491.4609,0.8716,0.1924,0.0032,0.4911,0.5559,0.6730,0.0102,0.1075,0.0073
510.5224,0.6163,0.2094,0.0094,0.4825,0.5817,0.5667,0.0059,0.0223,0.0323
470.0671,0.7868,0.1987,0.0098,0.4935,0.5765,0.7053,0.0152,0.0619,0.0307
590.5898,0.7688,0.1936,0.0013,0.4600,0.5807,0.6107,0.0084,0.0154,0.1380
599.7668,0.9713,0.2205,0.0218,0.4345,0.5855,0.7253,0.0113,0.0252,0.0061
560.8946,0.7301,0.2250,0.0149,0.4964,0.5862,0.5626,0.0029,0.0705,0.0659
