Ti,tau,f_B,r_ash,eta_ch,f_tail,eta_drive,f_imp,xi_sync,Pnet_Pbrems
519.3753,0.3340,0.1531,0.0324,0.4046,0.4808,0.7364,0.0033,0.0673,0.0423
455.3213,0.3570,0.1351,0.0218,0.3520,0.5043,0.7628,0.0185,0.0633,0.0292
358.6207,0.3793,0.1527,0.0123,0.0225,0.3421,0.6009,0.0022,0.1210,0.0124
578.1416,0.5242,0.2114,0.0155,0.4263,0.5850,0.6096,0.0108,0.0301,0.0477
494.6596,0.5979,0.2333,0.0022,0.4309,0.5157,0.7606,0.0077,0.0573,0.0218
453.1255,0.3759,0.1799,0.0016,0.4652,0.3174,0.7970,0.0112,0.0929,0.0219
489.7640,0.3349,0.2467,0.0183,0.3407,0.5827,0.7529,0.0000,0.1296,0.0012
377.2467,0.3743,0.1238,0.0199,0.0094,0.5852,0.3529,0.0008,0.0691,0.0321
476.0866,0.4217,0.1954,0.0070,0.4232,0.5675,0.6782,0.0016,0.0010,0.1789
395.1624,0.5174,0.2295,0.0132,0.4604,0.5013,0.7744,0.0005,0.0577,0.0064
567.5748,0.7471,0.2777,0.0382,0.4917,0.5757,0.7419,0.0027,0.0302,0.0135
446.0315,0.3285,0.1288,0.0075,0.1680,0.3263,0.7828,0.0009,0.0381,0.0470
588.9025,0.3144,0.1373,0.0053,0.1038,0.5010,0.5335,0.0105,0.0216,0.0106
584.0364,0.3411,0.1991,0.0084,0.4682,0.5824,0.7232,0.0088,0.0012,0.3193
450.2208,0.3494,0.1705,0.0408,0.4977,0.5839,0.6514,0.0130,0.0210,0.0011
395.8382,0.3431,0.1886,0.0064,0.1181,0.3478,0.6437,0.0021,0.0739,0.0415
431.5097,0.3784,0.1430,0.0038,0.0524,0.1408,0.7009,0.0174,0.0125,0.0113
525.0277,0.3291,0.1183,0.0058,0.2613,0.5917,0.5508,0.0076,0.0358,0.0383
536.3541,0.4087,0.1759,0.0066,0.4984,0.5799,0.7674,0.0176,0.0825,0.2153
501.0676,0.3269,0.1249,0.0137,0.4364,0.4499,0.7850,0.0160,0.1061,0.0728
565.3448,0.3731,0.2048,0.0165,0.4879,0.5242,0.6026,0.0007,0.1302,0.0004
537.7148,0.3867,0.2725,0.0287,0.4745,0.5410,0.7897,0.0039,0.0461,0.0622
512.5141,0.3438,0.1914,0.0013,0.3939,0.3297,0.7075,0.0096,0.0117,0.0516
479.1950,0.3165,0.1848,0.0054,0.1693,0.4018,0.6077,0.0153,0.0350,0.0262
404.3980,0.3585,0.1367,0.0021,0.2189,0.5697,0.7985,0.0000,0.0474,0.2250
368.2177,0.3922,0.1676,0.0070,0.3932,0.3053,0.7930,0.0019,0.0941,0.0211
522.0453,0.3430,0.2377,0.0012,0.4782,0.4746,0.6122,0.0135,0.0498,0.0234
326.2217,0.3833,0.1441,0.0197,0.1585,0.1998,0.7418,0.0139,0.0414,0.0028
411.2552,0.3132,0.1873,0.0080,0.3911,0.5611,0.7814,0.0103,0.0841,0.0621
365.6686,0.3881,0.1208,0.0153,0.4579,0.5527,0.7277,0.0161,0.0550,0.0265
480.6010,0.3235,0.1535,0.0097,0.0930,0.4553,0.6313,0.0090,0.0307,0.0879
489.4959,0.3228,0.1718,0.0055,0.4928,0.2211,0.7351,0.0020,0.0423,0.0471
344.2481,0.3672,0.1865,0.0120,0.2636,0.4875,0.7836,0.0041,0.0282,0.1223
381.7854,0.3967,0.1681,0.0157,0.1986,0.5967,0.7497,0.0062,0.0299,0.0559
430.5992,0.3361,0.2264,0.0048,0.1365,0.4610,0.7714,0.0078,0.0066,0.0552
523.6647,0.6637,0.2243,0.0127,0.4752,0.5579,0.7241,0.0037,0.0171,0.1316
502.7689,0.3479,0.2071,0.0172,0.4581,0.5912,0.7809,0.0137,0.1399,0.1065
509.8494,0.3005,0.1638,0.0235,0.1616,0.5529,0.7989,0.0034,0.0289,0.1024
376.0895,0.3300,0.2528,0.0439,0.4069,0.5817,0.7902,0.0020,0.0278,0.0028
485.7671,0.3156,0.1632,0.0042,0.0037,0.5804,0.4046,0.0166,0.0898,0.0090
423.7267,0.3781,0.1447,0.0107,0.4958,0.4209,0.7846,0.0181,0.1247,0.0096
433.9877,0.3633,0.1057,0.0094,0.0371,0.3490,0.7509,0.0129,0.0672,0.0412
359.4368,0.4101,0.1128,0.0088,0.1338,0.2208,0.7908,0.0199,0.0215,0.0294
529.2643,0.4389,0.1658,0.0115,0.4467,0.5961,0.5446,0.0030,0.0716,0.0191
584.6209,0.3124,0.2986,0.0018,0.4523,0.4078,0.7747,0.0008,0.0598,0.0328
410.0820,0.3282,0.1588,0.0068,0.3458,0.4818,0.6797,0.0040,0.0754,0.0022
