cross_section,f_B,Ti_keV,PF_over_PB
TB,0.2125,200.0,0.90397
TB,0.2125,225.0,0.98138
TB,0.2125,250.0,1.03595
TB,0.2125,275.0,1.07326
TB,0.2125,300.0,1.09719
TB,0.2125,325.0,1.11153
TB,0.2125,350.0,1.11895
TB,0.2125,375.0,1.12143
TB,0.2125,400.0,1.12047
TB,0.2125,425.0,1.11734
TB,0.2125,450.0,1.11241
TB,0.2125,475.0,1.10644
TB,0.2125,500.0,1.09981
TB,0.2125,525.0,1.09279
TB,0.2125,550.0,1.08555
TB,0.2125,575.0,1.07820
TB,0.2125,600.0,1.07082
TB,0.2250,150.0,0.64622
TB,0.2250,175.0,0.78204
TB,0.2250,200.0,0.88449
TB,0.2250,225.0,0.96078
TB,0.2250,250.0,1.01469
TB,0.2250,275.0,1.05167
TB,0.2250,300.0,1.07551
TB,0.2250,325.0,1.08992
TB,0.2250,350.0,1.09751
TB,0.2250,375.0,1.10024
TB,0.2250,400.0,1.09956
TB,0.2250,425.0,1.09653
TB,0.2250,450.0,1.09212
TB,0.2250,475.0,1.08646
TB,0.2250,500.0,1.08015
TB,0.2250,525.0,1.07344
TB,0.2250,550.0,1.06650
TB,0.2250,575.0,1.05944
TB,0.2250,600.0,1.05234
TB,0.2375,150.0,0.63078
TB,0.2375,175.0,0.76385
TB,0.2375,200.0,0.86448
TB,0.2375,225.0,0.93955
TB,0.2375,250.0,0.99271
TB,0.2375,275.0,1.02929
TB,0.2375,300.0,1.05299
TB,0.2375,325.0,1.06742
TB,0.2375,350.0,1.07515
TB,0.2375,375.0,1.07809
TB,0.2375,400.0,1.07767
TB,0.2375,425.0,1.07492
TB,0.2375,450.0,1.07080
TB,0.2375,475.0,1.06545
TB,0.2375,500.0,1.05944
TB,0.2375,525.0,1.05302
TB,0.2375,550.0,1.04637
TB,0.2375,575.0,1.03960
TB,0.2375,600.0,1.03277
TB,0.2500,150.0,0.61516
TB,0.2500,175.0,0.74539
TB,0.2500,200.0,0.84411
TB,0.2500,225.0,0.91788
TB,0.2500,250.0,0.97024
TB,0.2500,275.0,1.00612
TB,0.2500,300.0,1.02986
TB,0.2500,325.0,1.04428
TB,0.2500,350.0,1.05210
TB,0.2500,375.0,1.05523
TB,0.2500,400.0,1.05504
TB,0.2500,425.0,1.05255
TB,0.2500,450.0,1.04870
TB,0.2500,475.0,1.04364
TB,0.2500,500.0,1.03791
TB,0.2500,525.0,1.03178
TB,0.2500,550.0,1.02541
TB,0.2500,575.0,1.01890
TB,0.2500,600.0,1.01233
TB,0.2625,150.0,0.59946
TB,0.2625,175.0,0.72677
TB,0.2625,200.0,0.82352
TB,0.2625,225.0,0.89593
TB,0.2625,250.0,0.94743
TB,0.2625,275.0,0.98281
TB,0.2625,300.0,1.00631
TB,0.2625,325.0,1.02067
TB,0.2625,350.0,1.02857
TB,0.2625,375.0,1.03184
TB,0.2625,400.0,1.03186
TB,0.2625,425.0,1.02962
TB,0.2625,450.0,1.02585
TB,0.2625,475.0,1.02123
TB,0.2625,500.0,1.01578
TB,0.2625,525.0,1.00991
TB,0.2625,550.0,1.00380
TB,0.2625,575.0,0.99756
TB,0.2625,600.0,0.99124
TB,0.2750,150.0,0.58375
TB,0.2750,175.0,0.70809
TB,0.2750,200.0,0.80282
TB,0.2750,225.0,0.87382
TB,0.2750,250.0,0.92442
TB,0.2750,275.0,0.95926
TB,0.2750,300.0,0.98248
TB,0.2750,325.0,0.99675
TB,0.2750,350.0,1.00469
TB,0.2750,375.0,1.00810
TB,0.2750,400.0,1.00830
TB,0.2750,425.0,1.00629
TB,0.2750,450.0,1.00275
TB,0.2750,475.0,0.99839
TB,0.2750,500.0,0.99319
TB,0.2750,525.0,0.98758
TB,0.2750,550.0,0.98173
TB,0.2750,575.0,0.97574
TB,0.2750,600.0,0.96966
TB,0.2875,150.0,0.56809
TB,0.2875,175.0,0.68943
TB,0.2875,200.0,0.78210
TB,0.2875,225.0,0.85166
TB,0.2875,250.0,0.90131
TB,0.2875,275.0,0.93558
TB,0.2875,300.0,0.95850
TB,0.2875,325.0,0.97265
TB,0.2875,350.0,0.98061
TB,0.2875,375.0,0.98412
TB,0.2875,400.0,0.98449
TB,0.2875,425.0,0.98268
TB,0.2875,450.0,0.97938
TB,0.2875,475.0,0.97508
TB,0.2875,500.0,0.97029
TB,0.2875,525.0,0.96493
TB,0.2875,550.0,0.95932
TB,0.2875,575.0,0.95357
TB,0.2875,600.0,0.94773
TB,0.3000,150.0,0.55253
TB,0.3000,175.0,0.67085
TB,0.3000,200.0,0.76144
TB,0.3000,225.0,0.82953
TB,0.3000,250.0,0.87820
